DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y15,99,2019,292016,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y15,99,2020,294506,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y15,99,2021,294449,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y15,99,2022,297220,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y15,99,2023,297394,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y15,99,2024,298883,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y15,99,2025,297129,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y15,99,2026,294792,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y16,99,2019,290476,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y16,99,2020,292771,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y16,99,2021,296085,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y16,99,2022,295963,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y16,99,2023,298845,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y16,99,2024,299700,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y16,99,2025,301174,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y16,99,2026,299720,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y17,99,2019,295127,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y17,99,2020,291807,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y17,99,2021,294149,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y17,99,2022,299478,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y17,99,2023,298641,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y17,99,2024,302297,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y17,99,2025,304082,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y17,99,2026,304244,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y18,99,2019,306068,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y18,99,2020,298000,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y18,99,2021,292774,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y18,99,2022,295158,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y18,99,2023,304193,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y18,99,2024,304333,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y18,99,2025,308610,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y18,99,2026,307575,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y19,99,2019,307554,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y19,99,2020,308381,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y19,99,2021,299358,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y19,99,2022,294218,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y19,99,2023,300052,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y19,99,2024,309963,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y19,99,2025,310302,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y19,99,2026,312490,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y2,99,2019,241671,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y2,99,2020,235153,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y2,99,2021,228106,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y2,99,2022,217987,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y2,99,2023,211696,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y2,99,2024,208930,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y2,99,2025,206419,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y2,99,2026,199434,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y20,99,2019,313559,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y20,99,2020,308189,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y20,99,2021,309949,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y20,99,2022,299483,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y20,99,2023,298116,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y20,99,2024,304996,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y20,99,2025,315851,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y20,99,2026,314563,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y21,99,2019,310367,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y21,99,2020,313182,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y21,99,2021,308471,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y21,99,2022,307995,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y21,99,2023,303004,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y21,99,2024,302673,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y21,99,2025,310955,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y21,99,2026,320430,e,,,,,,,,,
