FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;AGE;Età;MARITAL_STATUS;Stato civile;TIME_PERIOD;Osservazione;OBS_STATUS;stato_osservazione
A;Annuale;4009;Bagnolo Piemonte;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;5967;;
A;Annuale;4009;Bagnolo Piemonte;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;5911;;
A;Annuale;4009;Bagnolo Piemonte;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;5838;;
A;Annuale;4009;Bagnolo Piemonte;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;5817;;
A;Annuale;4009;Bagnolo Piemonte;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;5832;;
A;Annuale;4009;Bagnolo Piemonte;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;5818;;
A;Annuale;4009;Bagnolo Piemonte;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;5728;;
A;Annuale;4009;Bagnolo Piemonte;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;5685;e;Dato stimato
A;Annuale;4010;"'Baldissero d""'Alba'";JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;1060;;
A;Annuale;4010;"'Baldissero d""'Alba'";JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;1067;;
A;Annuale;4010;"'Baldissero d""'Alba'";JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;1049;;
A;Annuale;4010;"'Baldissero d""'Alba'";JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;1048;;
A;Annuale;4010;"'Baldissero d""'Alba'";JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;1051;;
A;Annuale;4010;"'Baldissero d""'Alba'";JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;1061;;
A;Annuale;4010;"'Baldissero d""'Alba'";JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;1052;;
A;Annuale;4010;"'Baldissero d""'Alba'";JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;1043;e;Dato stimato
A;Annuale;4011;Barbaresco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;630;;
A;Annuale;4011;Barbaresco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;612;;
A;Annuale;4011;Barbaresco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;617;;
A;Annuale;4011;Barbaresco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;609;;
A;Annuale;4011;Barbaresco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;594;;
A;Annuale;4011;Barbaresco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;607;;
A;Annuale;4011;Barbaresco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;600;;
A;Annuale;4011;Barbaresco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;600;e;Dato stimato
A;Annuale;4012;Barge;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;7530;;
A;Annuale;4012;Barge;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;7506;;
A;Annuale;4012;Barge;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;7497;;
